// // Scan Code Expected unshifted char
0x0000 0x00 //input (line): 0(0x00), VK_NOTDEF, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 1(0x01), VK_LBUTTON, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 2(0x02), VK_RBUTTON, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 3(0x03), VK_CANCEL, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 4(0x04), VK_MBUTTON, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 5(0x05), undef_0x05, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 6(0x06), undef_0x06, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 7(0x07), undef_0x07, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x000E 0x00 //input (line): 8(0x08), VK_BACK, output (by scancode): VK_BACK, output char code:VK_NOTDEF
0x000F 0x09 //input (line): 9(0x09), VK_TAB, output (by scancode): VK_TAB, output char code:VK_TAB
0x0000 0x00 //input (line): 10(0x0a), undef_0x0A, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 11(0x0b), undef_0x0B, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0053 0x00 //input (line): 12(0x0c), VK_CLEAR, output (by scancode): VK_DECIMAL, output char code:VK_NOTDEF
0x001C 0x0D //input (line): 13(0x0d), VK_RETURN, output (by scancode): VK_RETURN, output char code:VK_RETURN
0x0000 0x00 //input (line): 14(0x0e), undef_0x0E, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 15(0x0f), undef_0x0F, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x002A 0x00 //input (line): 16(0x10), VK_SHIFT, output (by scancode): VK_LSHIFT, output char code:VK_NOTDEF
0x001D 0x00 //input (line): 17(0x11), VK_CONTROL, output (by scancode): VK_CONTROL, output char code:VK_NOTDEF
0x0038 0x00 //input (line): 18(0x12), VK_MENU, output (by scancode): VK_MENU, output char code:VK_NOTDEF
0x0045 0x00 //input (line): 19(0x13), VK_PAUSE, output (by scancode): VK_NUMLOCK, output char code:VK_NOTDEF
0x003A 0x00 //input (line): 20(0x14), VK_CAPITAL, output (by scancode): VK_CAPITAL, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 21(0x15), VK_HANGUL, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 22(0x16), undef_0x16, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 23(0x17), VK_JUNJA, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 24(0x18), VK_FINAL, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 25(0x19), VK_KANJI, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 26(0x1a), undef_0x1A, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0001 0x1B //input (line): 27(0x1b), VK_ESCAPE, output (by scancode): VK_ESCAPE, output char code:VK_ESCAPE
0x0000 0x00 //input (line): 28(0x1c), VK_CONVERT, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 29(0x1d), VK_NOCONVERT, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 30(0x1e), undef_0x1E, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 31(0x1f), undef_0x1F, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0039 0x20 //input (line): 32(0x20), VK_SPACE, output (by scancode): VK_SPACE, output char code:VK_SPACE
0x0049 0x00 //input (line): 33(0x21), VK_PRIOR, output (by scancode): VK_PRIOR, output char code:VK_NOTDEF
0x0051 0x00 //input (line): 34(0x22), VK_NEXT, output (by scancode): VK_NUMPAD3, output char code:VK_NOTDEF
0x004F 0x00 //input (line): 35(0x23), VK_END, output (by scancode): VK_NUMPAD1, output char code:VK_NOTDEF
0x0047 0x00 //input (line): 36(0x24), VK_HOME, output (by scancode): VK_HOME, output char code:VK_NOTDEF
0x004B 0x00 //input (line): 37(0x25), VK_LEFT, output (by scancode): VK_NUMPAD4, output char code:VK_NOTDEF
0x0048 0x00 //input (line): 38(0x26), VK_UP, output (by scancode): VK_UP, output char code:VK_NOTDEF
0x004D 0x00 //input (line): 39(0x27), VK_RIGHT, output (by scancode): VK_NUMPAD6, output char code:VK_NOTDEF
0x0050 0x00 //input (line): 40(0x28), VK_DOWN, output (by scancode): VK_NUMPAD2, output char code:VK_NOTDEF
0x004C 0x00 //input (line): 41(0x29), VK_SELECT, output (by scancode): VK_NUMPAD5, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 42(0x2a), VK_PRINT, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 43(0x2b), VK_EXECUTE, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0054 0x00 //input (line): 44(0x2c), VK_SNAPSHOT, output (by scancode): VK_F11, output char code:VK_NOTDEF
0x0052 0x00 //input (line): 45(0x2d), VK_INSERT, output (by scancode): VK_NUMPAD0, output char code:VK_NOTDEF
0x0053 0x00 //input (line): 46(0x2e), VK_DELETE, output (by scancode): VK_DECIMAL, output char code:VK_NOTDEF
0x0035 0x2F //input (line): 47(0x2f), VK_HELP, output (by scancode): VK_SLASH, output char code:VK_HELP
0x000B 0x30 //input (line): 48(0x30), VK_0, output (by scancode): VK_0, output char code:VK_0
0x0002 0x31 //input (line): 49(0x31), VK_1, output (by scancode): VK_1, output char code:VK_1
0x0003 0x32 //input (line): 50(0x32), VK_2, output (by scancode): VK_2, output char code:VK_2
0x0004 0x33 //input (line): 51(0x33), VK_3, output (by scancode): VK_3, output char code:VK_3
0x0005 0x34 //input (line): 52(0x34), VK_4, output (by scancode): VK_4, output char code:VK_4
0x0006 0x35 //input (line): 53(0x35), VK_5, output (by scancode): VK_5, output char code:VK_5
0x0007 0x36 //input (line): 54(0x36), VK_6, output (by scancode): VK_6, output char code:VK_6
0x0008 0x37 //input (line): 55(0x37), VK_7, output (by scancode): VK_7, output char code:VK_7
0x0009 0x38 //input (line): 56(0x38), VK_8, output (by scancode): VK_8, output char code:VK_8
0x000A 0x39 //input (line): 57(0x39), VK_9, output (by scancode): VK_9, output char code:VK_9
0x0027 0x3B //input (line): 58(0x3a), undef_0x3A, output (by scancode): VK_SEMICOLON, output char code:undef_0x3B
0x0000 0x00 //input (line): 59(0x3b), undef_0x3B, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0033 0x33 //input (line): 60(0x3c), undef_0x3C, output (by scancode): VK_COMMA, output char code:VK_3
0x0027 0x3B //input (line): 61(0x3d), undef_0x3D, output (by scancode): VK_SEMICOLON, output char code:undef_0x3B
0x0034 0x34 //input (line): 62(0x3e), undef_0x3E, output (by scancode): VK_PERIOD, output char code:VK_4
0x0035 0x35 //input (line): 63(0x3f), undef_0x3F, output (by scancode): VK_SLASH, output char code:VK_5
